(0, 1, 0)	0	0	995332	828541	110	110
(1, 0, 0)	2	0	388406	537059	32	32
(0, 2, 0)	1	0	317593	92194	30	29
(2, 0, 0)	2	0	107261	119947	18	18
(0, 3, 0)	1	0	197586	554736	23	22
(3, 0, 0)	2	0	690254	515816	32	32
(0, 4, 0)	1	0	276842	267053	20	19
(4, 0, 0)	2	0	270717	132040	21	21
(0, 5, 0)	1	0	248702	338707	22	21
(5, 0, 0)	2	0	313360	153440	19	19
(0, 6, 0)	1	0	629838	824671	40	39
(6, 0, 0)	2	0	631384	156299	19	19
(0, 7, 0)	1	0	470081	751031	26	25
(7, 0, 0)	2	0	653094	440424	26	26
(0, 8, 0)	1	0	179759	230998	16	15
(8, 0, 0)	2	0	129087	54312	13	13
(0, 9, 0)	1	0	78020	512229	17	16
(9, 0, 0)	2	0	570693	145730	13	13
(0, 10, 0)	1	0	76975	174609	12	11
(10, 0, 0)	2	0	183594	105226	18	18
(0, 11, 0)	1	0	294859	654748	23	22
(11, 0, 0)	2	0	677142	98156	18	18
(0, 12, 0)	1	0	170713	524139	16	15
(12, 0, 0)	2	0	768416	275271	30	30
(0, 13, 0)	2	0	758202	711902	42	42
(13, 0, 0)	1	0	67327	53914	14	13
(0, 14, 0)	1	0	96881	251982	14	13
(14, 0, 0)	2	0	215447	60715	12	12
(0, 15, 0)	1	0	124369	160433	13	12
(15, 0, 0)	2	0	445697	334276	29	29
(1, 2, 0)	1	0	431638	405474	51	50
(2, 1, 0)	1	0	186760	368538	31	30
(1, 3, 0)	1	0	128346	413005	20	19
(3, 1, 0)	0	0	997230	764258	110	110
(1, 4, 0)	2	0	286762	267887	31	31
(4, 1, 0)	2	0	504736	324853	34	34
(1, 5, 0)	2	0	303425	459858	24	24
(5, 1, 0)	2	0	625386	325733	35	35
(1, 6, 0)	1	0	539484	936113	47	46
(6, 1, 0)	2	0	637456	166658	18	18
(1, 7, 0)	1	0	53385	189806	9	8
(7, 1, 0)	2	0	427918	94166	19	19
(1, 8, 0)	1	0	34849	89922	11	10
(8, 1, 0)	2	0	175022	92138	10	10
(1, 9, 0)	1	0	33086	465543	11	10
(9, 1, 0)	2	0	710910	92475	15	15
(1, 10, 0)	1	0	110638	326213	17	16
(10, 1, 0)	2	0	117814	75721	11	11
(1, 11, 0)	1	0	110697	413122	13	12
(11, 1, 0)	2	0	636135	184864	18	18
(1, 12, 0)	2	0	236681	683652	22	22
(12, 1, 0)	2	0	924620	401076	46	46
(1, 13, 0)	2	0	343515	340279	28	28
(13, 1, 0)	1	0	99393	150999	14	13
(1, 14, 0)	1	0	329896	874740	32	31
(14, 1, 0)	2	0	371958	76838	19	19
(1, 15, 0)	1	0	34815	73496	9	8
(15, 1, 0)	2	0	460454	229647	22	22
(2, 3, 0)	2	0	80876	351921	12	12
(3, 2, 0)	2	0	454255	124510	18	18
(2, 4, 0)	1	0	263474	261391	22	21
(4, 2, 0)	2	0	541909	163226	35	35
(2, 5, 0)	2	0	89255	231496	12	12
(5, 2, 0)	1	0	199143	28923	12	11
(2, 6, 0)	2	0	66866	397803	17	17
(6, 2, 0)	2	0	628288	51219	18	18
(2, 7, 0)	1	0	43898	358024	14	13
(7, 2, 0)	2	0	276931	22944	15	15
(2, 8, 0)	1	0	388078	630662	30	29
(8, 2, 0)	2	0	173458	60414	10	10
(2, 9, 0)	1	0	45820	407288	14	13
